Brand,User_Age,Daily_Usage_(in_minutes)
Nokia,45,216
RealMe,57,-13
Xioami,39,94
Oppo,50,105
Nokia,31,24
LYF,33,142
Samsung,36,280
RealMe,33,54
Apple,27,-160
Xioami,27,303
Vivo,49,168
LYF,44,-48
LYF,37,129
Lenovo,42,176
Lenovo,32,98
LG,19,31
Samsung,65,64
Lenovo,38,150
Samsung,49,136
Xioami,49,33
Xioami,25,274
Motorola,60,150
OnePlus,27,147
RealMe,41,81
Lenovo,20,42
Vivo,59,119
OnePlus,62,276
Motorola,45,73
Oppo,37,224
OnePlus,23,105
LG,43,125
Motorola,24,147
Xioami,56,58
Samsung,35,38
Xioami,26,108
OnePlus,55,80
Vivo,47,21
OnePlus,40,34
Honor,20,-5
OnePlus,23,29
Xioami,57,164
Honor,41,190
LG,40,167
Motorola,14,202
OnePlus,52,58
LG,29,165
Xioami,29,96
Oppo,21,131
Oppo,63,214
LYF,40,-21
Apple,70,158
Oppo,44,94
Xioami,34,161
Honor,49,178
OnePlus,41,196
OnePlus,23,75
Oppo,11,77
Motorola,64,144
RealMe,56,200
Vivo,25,113
OnePlus,35,190
RealMe,40,135
LYF,43,126
RealMe,37,115
LG,25,81
Samsung,64,81
RealMe,18,240
Lenovo,41,134
Oppo,12,82
LG,30,25
Samsung,56,242
Vivo,70,101
LYF,36,108
LG,26,200
LG,52,169
LYF,31,81
Lenovo,51,169
Lenovo,25,59
Xioami,50,73
Nokia,21,103
Lenovo,28,115
Honor,16,127
Lenovo,52,252
Nokia,22,154
Lenovo,23,73
RealMe,52,118
LYF,49,52
Lenovo,36,2
Honor,48,129
Apple,29,121
Samsung,46,143
Motorola,51,66
LG,21,108
RealMe,28,158
Motorola,14,227
Samsung,22,66
Lenovo,63,212
LG,45,189
LG,26,-7
RealMe,43,200
Apple,53,27
Motorola,45,169
Honor,28,177
Apple,17,71
Motorola,11,197
Xioami,33,214
Vivo,24,60
Lenovo,35,-23
Nokia,28,-4
RealMe,52,130
LG,15,147
RealMe,43,58
Samsung,22,50
Nokia,57,242
Honor,30,38
Nokia,33,68
Xioami,31,163
Lenovo,67,100
LG,19,37
Apple,26,146
Nokia,33,94
Motorola,13,-20
Apple,20,7
OnePlus,12,216
Lenovo,42,160
LYF,29,110
Xioami,25,255
Honor,47,78
Lenovo,11,311
OnePlus,24,65
Oppo,68,127
Apple,40,97
Oppo,30,145
Samsung,37,93
Lenovo,27,125
Honor,16,60
Samsung,52,66
LG,67,156
Lenovo,10,243
Samsung,42,124
RealMe,13,161
Honor,55,168
Apple,26,285
Nokia,53,79
LG,35,190
Nokia,33,173
LYF,28,206
Xioami,47,84
OnePlus,13,155
RealMe,29,133
Xioami,35,63
Lenovo,40,54
OnePlus,42,122
Lenovo,23,51
RealMe,28,144
Xioami,49,113
Apple,42,139
OnePlus,34,149
LG,53,124
OnePlus,16,200
Xioami,11,120
RealMe,19,-41
RealMe,71,7
Honor,39,45
Xioami,36,254
LYF,16,-11
LYF,19,287
LG,44,109
Oppo,33,-9
Samsung,31,-77
Samsung,10,203
Honor,33,-42
Motorola,11,-37
LG,19,150
Honor,44,112
LYF,35,201
Lenovo,38,27
Samsung,32,122
LG,39,130
Apple,56,233
Lenovo,13,195
Samsung,23,-6
Samsung,48,141
Lenovo,40,136
Nokia,75,182
Apple,23,183
Samsung,61,83
RealMe,23,-10
Xioami,41,89
Nokia,47,-79
Honor,37,78
Lenovo,49,131
RealMe,60,120
Honor,26,40
OnePlus,35,60
Xioami,46,168
Lenovo,30,109
Samsung,34,68
Nokia,23,166
LYF,43,210
Xioami,45,157
Motorola,33,207
Vivo,16,-18
Nokia,54,147
LYF,72,43
Xioami,46,148
Lenovo,39,139
Nokia,36,175
Honor,44,-31
OnePlus,17,57
Samsung,33,87
Apple,37,94
LYF,26,223
OnePlus,34,137
Apple,41,87
Apple,28,-6
Xioami,40,33
OnePlus,35,65
LG,22,68
Motorola,32,26
OnePlus,33,77
Samsung,21,203
Xioami,18,161
RealMe,39,62
Xioami,53,200
LG,51,62
OnePlus,33,172
Lenovo,40,53
RealMe,59,68
LYF,24,66
Samsung,43,101
Lenovo,43,175
Apple,31,127
Xioami,27,0
OnePlus,35,220
Nokia,43,105
Honor,25,36
Samsung,41,298
Xioami,41,71
Apple,61,128
Vivo,63,110
Apple,37,126
Motorola,75,146
LYF,45,146
Xioami,42,171
Samsung,66,335
Xioami,33,150
Oppo,31,34
Nokia,57,33
Oppo,48,139
Apple,34,131
LG,35,195
OnePlus,28,67
Vivo,29,106
Nokia,49,163
RealMe,50,2
LG,44,44
Vivo,33,-20
Lenovo,48,142
Samsung,28,99
LG,31,75
OnePlus,47,34
Nokia,29,53
LG,36,153
Apple,51,89
Vivo,18,4
Samsung,31,100
Lenovo,83,95
LYF,48,147
Nokia,32,78
RealMe,10,70
LG,59,122
Lenovo,28,-57
OnePlus,58,-19
Xioami,45,112
OnePlus,26,174
Motorola,40,109
Vivo,41,107
Oppo,37,147
LYF,47,192
Samsung,13,237
Nokia,48,55
Xioami,36,144
Nokia,39,115
LYF,48,128
LYF,41,213
Apple,23,117
OnePlus,55,129
Honor,31,117
Motorola,61,104
Motorola,41,115
Apple,35,182
Nokia,32,44
Nokia,28,59
Oppo,55,169
Motorola,44,163
OnePlus,15,339
Nokia,50,117
RealMe,64,204
RealMe,31,86
Nokia,29,28
Honor,33,122
Xioami,39,114
Vivo,48,99
Apple,23,161
LYF,57,50
Motorola,23,189
Lenovo,54,127
Oppo,37,218
Vivo,20,46
LYF,15,137
Nokia,50,-4
LYF,28,185
Motorola,42,23
Honor,68,87
Honor,48,233
LYF,51,207
Lenovo,32,44
Xioami,35,160
Honor,20,180
RealMe,58,214
Honor,36,98
OnePlus,10,162
Samsung,45,123
LYF,20,-1
Samsung,27,145
Lenovo,50,86
Xioami,50,158
LYF,43,174
Oppo,42,78
Samsung,17,119
Samsung,11,-56
Samsung,49,99
Nokia,43,34
Motorola,43,325
Samsung,20,144
Nokia,44,152
LG,21,110
Honor,39,111
Motorola,31,-35
Xioami,41,29
OnePlus,29,153
Motorola,49,270
LYF,41,122
Vivo,34,-3
Honor,24,172
OnePlus,37,222
Motorola,40,112
LYF,47,151
Samsung,36,366
Apple,38,150
LYF,42,204
Honor,44,155
Oppo,46,104
Oppo,36,65
Samsung,48,-15
Oppo,31,276
OnePlus,39,91
Vivo,26,151
RealMe,55,-62
Motorola,44,172
Samsung,15,90
Xioami,25,39
Xioami,50,59
LG,37,229
Samsung,47,171
Oppo,57,199
Nokia,44,168
Apple,44,150
Honor,43,110
Oppo,19,148
RealMe,61,82
Samsung,39,93
Oppo,45,239
Oppo,37,112
Honor,38,64
RealMe,51,198
Samsung,36,178
Motorola,28,229
Oppo,26,108
Vivo,46,186
Xioami,20,206
Apple,16,106
Oppo,37,177
Samsung,70,131
Nokia,62,241
Motorola,33,156
Honor,37,63
RealMe,33,40
Vivo,71,274
Honor,25,87
LG,33,99
LYF,48,181
Xioami,24,64
RealMe,31,69
OnePlus,47,1
Lenovo,45,86
LYF,22,116
Samsung,31,221
OnePlus,33,181
Motorola,30,52
Honor,47,24
Lenovo,43,180
Apple,39,149
RealMe,22,137
LG,39,32
OnePlus,40,156
Nokia,23,55
Samsung,75,193
Motorola,30,124
Samsung,44,62
Honor,54,73
Xioami,38,247
Apple,44,217
LYF,38,70
Vivo,50,30
Nokia,46,242
RealMe,51,161
Vivo,13,24
LYF,35,-57
Honor,30,-2
LYF,28,58
OnePlus,37,96
Nokia,18,125
Lenovo,47,-5
Apple,56,158
LG,57,29
LYF,40,174
Oppo,11,249
Samsung,20,99
Honor,33,60
OnePlus,30,90
LYF,40,76
LG,24,-14
Samsung,32,249
Motorola,20,165
Samsung,31,156
Motorola,56,85
Oppo,36,159
OnePlus,29,-36
Vivo,45,107
OnePlus,17,89
Honor,39,51
LG,29,184
LYF,28,66
LG,43,112
Motorola,34,138
Xioami,35,159
Nokia,59,52
Oppo,44,133
LYF,40,52
Samsung,36,40
Samsung,44,76
Xioami,23,95
Oppo,35,18
Nokia,44,108
Nokia,41,44
LG,15,101
Apple,63,211
Apple,42,177
Vivo,10,105
Samsung,23,128
Vivo,33,101
LG,26,99
RealMe,56,115
Samsung,34,226
Apple,31,-5
Apple,54,100
Vivo,45,99
RealMe,21,-16
Honor,38,81
LG,34,4
LYF,42,80
OnePlus,24,214
Lenovo,22,214
OnePlus,57,79
OnePlus,70,93
LYF,42,19
Honor,33,37
OnePlus,20,79
Honor,20,60
Oppo,54,152
Nokia,36,100
Oppo,28,175
Xioami,61,319
Samsung,37,-6
Oppo,48,99
OnePlus,25,201
LG,52,219
Nokia,12,94
Oppo,33,45
Oppo,10,18
Vivo,29,252
Honor,24,111
RealMe,33,214
RealMe,33,108
Oppo,49,112
OnePlus,47,27
Motorola,31,-3
OnePlus,27,95
Oppo,34,230
Vivo,70,114
Xioami,24,167
Lenovo,44,-155
Nokia,89,16
Motorola,28,146
LG,40,129
Oppo,14,22
Vivo,21,75
Motorola,44,85
Nokia,25,169
Samsung,29,191
Xioami,33,79
Samsung,39,166
Apple,37,160
Motorola,31,152
Vivo,50,40
Nokia,40,164
OnePlus,31,181
Apple,34,56
Samsung,36,110
Lenovo,43,186
Nokia,61,194
Motorola,60,53
Vivo,52,-20
OnePlus,48,67
LG,27,148
OnePlus,41,152
Nokia,50,229
OnePlus,26,53
Xioami,40,42
RealMe,52,94
Oppo,27,90
RealMe,56,181
Xioami,35,106
LG,42,94
Oppo,33,203
Motorola,59,46
Apple,38,104
Lenovo,45,93
Apple,44,134
Motorola,59,0
Oppo,11,93
LG,51,15
LYF,46,160
Vivo,22,113
LG,31,104
Vivo,44,137
Lenovo,37,238
Vivo,44,204
LG,38,34
LYF,19,71
Lenovo,42,153
Lenovo,40,134
Apple,18,112
Nokia,37,1
Xioami,31,109
OnePlus,44,111
Vivo,43,25
Nokia,55,73
LG,31,95
Lenovo,31,-109
Motorola,28,78
Honor,42,14
Xioami,20,115
LYF,83,119
Oppo,42,0
Motorola,34,39
Vivo,15,70
OnePlus,45,46
Oppo,63,-73
Lenovo,20,37
Oppo,38,246
Motorola,28,67
LYF,46,208
Xioami,58,7
Nokia,35,90
Oppo,44,168
Samsung,47,154
Lenovo,46,241
OnePlus,57,184
LG,59,86
LG,47,86
LYF,26,128
OnePlus,36,135
Lenovo,55,152
Oppo,55,180
Lenovo,36,156
Apple,59,161
Apple,39,63
Apple,29,35
LG,31,13
LG,33,150
Honor,27,169
RealMe,49,244
Oppo,43,101
Nokia,35,114
Motorola,40,196
RealMe,40,148
Oppo,42,63
Nokia,56,273
Samsung,28,84
Oppo,20,127
Honor,24,184
Motorola,13,18
OnePlus,40,368
Samsung,52,93
Honor,28,-9
Honor,26,-33
Honor,90,329
LYF,30,319
Samsung,43,115
OnePlus,54,-25
Vivo,21,21
Honor,42,24
LG,40,174
Xioami,30,11
Oppo,18,99
Apple,35,120
RealMe,45,118
LYF,38,182
Apple,23,14
RealMe,21,292
Motorola,41,128
Honor,24,105
Xioami,54,28
LYF,37,85
Lenovo,49,177
LG,49,151
LYF,43,206
Samsung,15,181
Oppo,22,-30
Lenovo,43,-14
Lenovo,34,59
Apple,24,181
Honor,39,150
LG,28,100
Oppo,43,-1
Apple,44,217
Samsung,33,235
Nokia,55,8
Samsung,41,170
Samsung,53,142
Vivo,60,152
Vivo,17,75
Apple,19,132
Samsung,41,228
Motorola,49,98
Honor,35,175
Vivo,39,4
Honor,22,252
Samsung,54,70
LYF,16,128
Motorola,44,159
Samsung,28,156
Nokia,28,243
Nokia,32,96
Oppo,21,67
Samsung,35,21
Oppo,72,82
Lenovo,45,155
Motorola,34,111
LYF,21,-3
Vivo,42,79
Samsung,34,151
LYF,24,167
OnePlus,32,241
Xioami,31,290
OnePlus,34,84
Nokia,36,280
Nokia,38,39
Motorola,41,217
Lenovo,24,25
Lenovo,33,152
Oppo,28,28
OnePlus,59,115
Samsung,48,53
RealMe,46,36
Honor,28,69
Motorola,16,-3
Apple,73,192
Motorola,16,110
LYF,34,102
OnePlus,26,117
RealMe,33,149
Samsung,27,193
LG,45,189
Samsung,32,124
Oppo,33,120
LYF,37,190
RealMe,12,268
RealMe,31,126
Xioami,34,165
Lenovo,32,5
Motorola,38,-23
LYF,17,192
Motorola,16,172
LG,40,101
LG,33,162
Samsung,52,38
Lenovo,20,172
Nokia,12,85
Samsung,55,309
OnePlus,49,172
Vivo,29,166
Apple,30,-9
Motorola,35,237
OnePlus,19,0
Samsung,41,334
Apple,39,29
RealMe,25,140
RealMe,33,135
Honor,32,124
Oppo,42,73
LG,42,233
Lenovo,20,131
RealMe,67,279
RealMe,36,193
Vivo,36,159
Samsung,64,-22
LYF,17,46
Oppo,67,210
Honor,13,74
LG,33,147
RealMe,21,225
Honor,40,171
Lenovo,29,206
Motorola,37,25
LYF,41,40
Nokia,39,-101
Xioami,53,41
Motorola,26,217
RealMe,51,225
RealMe,22,15
RealMe,52,246
Samsung,49,139
Vivo,59,18
Apple,28,76
Apple,17,140
Lenovo,13,253
Apple,42,158
Nokia,16,119
LG,44,139
Lenovo,21,116
Lenovo,16,203
LYF,35,99
Oppo,28,216
Oppo,19,124
Oppo,46,-27
LG,64,190
LYF,41,209
Lenovo,39,51
OnePlus,33,217
Samsung,46,158
Vivo,23,-43
LYF,19,-5
Apple,40,224
Oppo,30,87
Honor,42,203
OnePlus,23,100
Oppo,12,180
Vivo,43,182
LYF,27,21
RealMe,27,74
Motorola,58,129
Samsung,16,50
LYF,55,176
Oppo,35,193
Apple,34,204
Samsung,55,-22
Motorola,23,79
RealMe,15,145
RealMe,41,231
Xioami,36,86
Oppo,16,194
RealMe,15,170
Vivo,47,75
LYF,36,-15
Vivo,27,183
LYF,49,55
LG,29,113
Motorola,16,196
Oppo,23,169
Lenovo,28,150
Honor,61,149
Honor,49,123
Nokia,25,47
Apple,87,174
Xioami,23,31
Samsung,34,139
Xioami,33,91
Apple,35,251
RealMe,26,-57
Vivo,32,214
Nokia,50,73
Motorola,20,106
Lenovo,45,212
LYF,21,260
Vivo,25,52
Samsung,27,26
RealMe,50,189
LG,57,135
Oppo,32,94
Oppo,21,92
Nokia,24,69
Xioami,32,158
Samsung,34,133
Lenovo,15,31
Nokia,29,72
Motorola,54,9
Oppo,45,96
Honor,44,94
RealMe,51,-86
LYF,25,171
Motorola,40,74
Apple,49,112
Lenovo,36,100
Honor,39,171
LYF,43,114
LYF,16,62
RealMe,50,62
LYF,39,127
RealMe,26,61
Lenovo,67,103
Honor,52,190
LG,40,47
Apple,17,30
Honor,37,60
RealMe,47,68
LYF,42,111
Vivo,34,108
Vivo,40,185
Lenovo,55,122
Oppo,28,248
Nokia,47,133
LYF,35,129
LYF,32,197
LYF,22,37
Motorola,53,69
RealMe,58,81
Vivo,38,81
Motorola,46,149
Oppo,50,143
Nokia,34,221
Nokia,52,57
Honor,19,69
Nokia,35,74
OnePlus,13,117
LG,40,176
Lenovo,24,13
LG,30,83
Honor,17,176
Oppo,50,100
Honor,53,122
Samsung,45,228
Motorola,39,58
Nokia,55,24
Oppo,34,59
Apple,11,237
LYF,25,213
LG,35,61
Oppo,63,35
Nokia,39,65
Apple,12,100
Lenovo,42,60
Oppo,47,212
Vivo,28,149
LYF,30,161
Samsung,55,115
Vivo,35,140
LYF,19,122
OnePlus,51,183
Oppo,58,38
Motorola,19,139
Oppo,35,175
LYF,34,151
Vivo,27,-135
Oppo,53,79
RealMe,43,118
Oppo,37,-37
Nokia,33,221
LG,32,78
Vivo,54,17
OnePlus,13,214
LYF,30,133
Oppo,31,-68
LYF,31,114
LG,11,129
Oppo,42,220
Vivo,34,93
Motorola,40,173
Oppo,46,285
Vivo,24,271
LG,36,89
Xioami,27,178
Samsung,52,198
Xioami,21,172
Apple,48,163
Nokia,28,37
Oppo,45,65
Samsung,39,71
Motorola,28,71
Honor,62,186
OnePlus,14,122
Vivo,41,191
Lenovo,29,158
Vivo,12,180
Oppo,65,53
Vivo,57,33
RealMe,25,244
RealMe,30,138
Xioami,23,69
Oppo,38,278
Samsung,23,174
LYF,48,204
Nokia,49,45
Lenovo,25,-22
Apple,48,176
RealMe,27,108
Vivo,47,126
Samsung,42,14
Motorola,37,158
Vivo,22,70
Xioami,27,69
Samsung,42,202
Oppo,30,93
Oppo,48,111
LYF,48,230
Oppo,42,89
Honor,23,100
Xioami,22,171
RealMe,57,-9
LG,33,111
Motorola,61,14
Vivo,39,31
Lenovo,25,66
RealMe,38,228
Xioami,60,121
Honor,50,1
Honor,26,111
OnePlus,43,198
LG,13,118
Vivo,32,204
Motorola,21,116
OnePlus,31,89
Oppo,62,146
Samsung,25,127
Xioami,52,189
Oppo,58,255
LG,65,153
Motorola,42,17
OnePlus,41,37
OnePlus,41,23
RealMe,32,129
Oppo,16,222
RealMe,50,236
Honor,30,70
Vivo,28,195
Vivo,35,114
Nokia,44,109
Vivo,50,-3
Honor,36,97
OnePlus,29,99
LG,35,74
Nokia,73,272
Honor,28,256
Lenovo,34,-17
OnePlus,27,50
Vivo,39,138
OnePlus,39,2
Vivo,35,77
Honor,25,162
OnePlus,40,126
Oppo,68,108
Apple,40,138
Apple,59,84
Xioami,31,258
LYF,24,134
Lenovo,15,104
OnePlus,35,17
OnePlus,22,167
Nokia,44,106
Samsung,26,71
Apple,13,30
Lenovo,32,175
RealMe,35,279
Honor,27,263
Samsung,33,135
Samsung,58,112
Samsung,20,142
Vivo,15,42
Motorola,41,10
LYF,29,205
Nokia,32,36
LYF,16,168
Xioami,57,92
Xioami,44,83
Motorola,57,125
Vivo,33,91
Vivo,46,18
LG,32,134
LG,41,112
Nokia,49,132
Lenovo,53,108
Apple,18,183
Honor,83,-71
Lenovo,27,122
OnePlus,20,183
Apple,37,132
Samsung,29,164
Honor,28,258
Oppo,57,217
Apple,43,27
Oppo,62,-3
Samsung,34,26
Lenovo,13,39
Apple,38,108
Xioami,45,82
OnePlus,27,60
Nokia,40,29
Honor,36,143
Honor,25,126
OnePlus,35,0
Motorola,19,-75
OnePlus,55,89
LG,52,45
Samsung,12,146
LG,32,70
Nokia,18,55
Apple,35,5
OnePlus,39,98
Motorola,13,89
RealMe,35,144
Oppo,31,28
LYF,55,96
RealMe,45,175
Oppo,35,86
Vivo,42,59
Samsung,26,69
RealMe,35,149
LYF,46,110
LYF,33,165
Oppo,39,244
Apple,45,102
Xioami,30,134
Xioami,13,90
Samsung,48,137
Motorola,19,156
Oppo,11,0
Oppo,14,55
Lenovo,48,77
Xioami,16,63
LG,37,40
Oppo,48,232
OnePlus,30,82
Motorola,60,50
Lenovo,27,226
LG,32,163
Nokia,33,126
Lenovo,37,144
Lenovo,71,47
Motorola,37,95
LG,20,-69
Apple,26,218
Vivo,55,124
LYF,34,3
LG,19,107
Honor,17,181
RealMe,47,193
LG,46,170
OnePlus,33,164
Apple,30,241
Motorola,47,223
RealMe,47,82
LYF,31,61
LYF,34,99
Apple,41,160
Nokia,21,179
Nokia,36,141
Honor,15,209
Vivo,44,67
OnePlus,42,262
Motorola,21,170
Lenovo,21,89
Vivo,47,68
Samsung,19,119
OnePlus,55,79
RealMe,37,107
Oppo,48,2
Apple,83,82
Lenovo,32,144
Xioami,40,189
LYF,21,77
LG,47,37
Nokia,44,-49
Nokia,28,135
Apple,45,-36
Apple,29,96
RealMe,39,-36
Vivo,42,72
Nokia,17,138
Nokia,69,38
Xioami,12,125
Xioami,45,195
Motorola,48,146
Lenovo,42,108
Lenovo,35,159
Apple,12,44
Oppo,44,127
OnePlus,39,73
RealMe,19,206
Apple,59,95
Nokia,21,201
LG,24,109
Samsung,45,99
Xioami,28,130
Samsung,86,-45
Vivo,56,186
Apple,38,42
Honor,19,139
Lenovo,25,228
LG,57,189
RealMe,46,57
OnePlus,18,221
Samsung,17,69
RealMe,35,30
OnePlus,47,-20
LYF,33,-4
OnePlus,16,205
Apple,33,150
Oppo,37,137
Xioami,26,149
LYF,58,174
Honor,56,151
OnePlus,32,-64
Xioami,42,0
Motorola,34,150
Motorola,22,169
RealMe,23,150
OnePlus,12,158
RealMe,42,180
Motorola,36,61
Xioami,56,148
Xioami,58,253
LYF,51,-28
Vivo,32,-43
Lenovo,88,-40
LG,67,238
Apple,20,168
Nokia,38,82
Xioami,39,200
LG,36,131
Samsung,24,8
Motorola,32,145
Lenovo,29,65
RealMe,30,196
Honor,34,107
Samsung,29,-137
OnePlus,12,201
LG,44,138
OnePlus,39,174
Honor,43,215
Apple,29,121
Apple,37,-47
Oppo,46,158
Lenovo,48,66
Xioami,23,165
Motorola,19,121
Nokia,39,139
Honor,42,191
Vivo,39,26
Apple,34,219
Vivo,34,107
Vivo,25,113
LYF,34,86
Motorola,17,201
Nokia,34,192
RealMe,84,110
OnePlus,34,155
Samsung,14,171
Honor,47,30
LYF,53,-74
Samsung,16,157
Lenovo,46,165
RealMe,27,312
RealMe,27,33
Apple,37,32
Apple,27,172
Apple,35,-101
Apple,66,170
OnePlus,23,268
Samsung,25,195
Honor,47,199
Oppo,47,203
Oppo,43,242
Honor,49,123
Motorola,13,97
Vivo,24,105
Samsung,53,294
Xioami,51,190
Honor,37,27
Honor,64,99
Nokia,27,201
Motorola,35,0
Vivo,68,77
RealMe,58,78
Samsung,39,65
Oppo,10,67
Motorola,30,100
LYF,45,222
RealMe,21,-57
RealMe,43,206
OnePlus,23,104
RealMe,53,114
Xioami,40,98
Honor,16,129
Honor,72,147
Oppo,20,201
OnePlus,20,83
Oppo,15,193
LYF,41,100
LG,14,122
Xioami,18,166
Apple,27,72
Honor,44,221
Oppo,26,228
Oppo,40,129
LYF,44,120
RealMe,64,73
LG,48,32
Samsung,31,124
Xioami,25,140
LG,37,69
Lenovo,45,92
Motorola,31,133
Motorola,29,187
LYF,20,276
Oppo,16,194
LYF,17,144
RealMe,22,211
Oppo,38,89
OnePlus,16,200
Lenovo,27,44
LYF,58,104
RealMe,25,99
Xioami,33,44
Honor,32,192
Samsung,27,62
Lenovo,27,101
Nokia,53,52
OnePlus,41,268
Xioami,37,73
RealMe,43,53
RealMe,42,62
Apple,21,266
Lenovo,40,117
Honor,39,99
Samsung,31,123
Samsung,29,129
Lenovo,28,186
Motorola,53,2
OnePlus,26,127
Nokia,22,56
LYF,39,87
Nokia,29,143
OnePlus,56,121
LG,27,150
LG,31,109
Vivo,10,123
Oppo,65,92
Samsung,54,148
Nokia,44,-5
Vivo,67,86
Oppo,19,176
Nokia,26,160
RealMe,51,222
Motorola,38,95
LG,55,80
Lenovo,27,192
Motorola,38,130
Vivo,23,19
OnePlus,20,83
Apple,20,224
Honor,32,39
Honor,44,189
RealMe,16,23
Samsung,18,128
Xioami,40,50
Samsung,23,162
Vivo,30,136
Nokia,24,205
Lenovo,40,86
Nokia,15,55
OnePlus,18,-20
Oppo,33,80
LYF,31,224
Vivo,33,92
Apple,46,206
Apple,55,45
Samsung,24,88
LG,28,105
Samsung,11,98
LG,36,147
OnePlus,14,259
LYF,31,10
Xioami,12,-95
Honor,39,128
Lenovo,28,55
RealMe,39,-17
Nokia,47,103
Motorola,64,134
Samsung,29,131
Samsung,43,107
Honor,25,167
Vivo,37,46
Oppo,53,4
Motorola,20,142
OnePlus,42,116
LYF,37,92
Samsung,54,-3
RealMe,10,184
Motorola,50,-19
Nokia,43,101
Lenovo,19,187
Vivo,48,161
Apple,27,98
Samsung,22,185
Vivo,34,95
Oppo,12,136
OnePlus,26,139
Lenovo,18,-57
Xioami,44,12
Apple,48,126
LYF,36,233
RealMe,26,41
Xioami,36,143
Nokia,28,112
Motorola,48,159
Vivo,44,153
Lenovo,24,121
OnePlus,53,85
Nokia,57,-43
Honor,39,42
LYF,34,169
Oppo,41,96
Nokia,55,125
LG,40,35
LYF,33,255
Xioami,30,139
Oppo,47,105
Nokia,43,78
Nokia,53,48
Xioami,71,-3
LYF,31,158
Nokia,30,158
LYF,36,39
Samsung,19,115
Vivo,34,83
Oppo,36,80
OnePlus,24,212
Samsung,47,110
RealMe,31,85
Oppo,43,107
Apple,30,255
Samsung,26,4
Apple,37,77
Apple,51,93
Samsung,43,56
Honor,15,98
Lenovo,46,180
Oppo,42,129
Honor,48,52
OnePlus,39,275
LG,24,-20
Lenovo,28,115
Xioami,48,106
LYF,27,189
Lenovo,10,130
Samsung,36,71
RealMe,20,208
Lenovo,25,107
Motorola,51,87
Lenovo,32,172
Motorola,27,142
OnePlus,56,139
Xioami,75,210
Nokia,30,127
RealMe,39,38
LG,31,17
Motorola,42,79
Xioami,33,109
OnePlus,24,119
Honor,28,25
Apple,65,0
Nokia,30,138
Vivo,29,33
Apple,50,159
Apple,49,64
Motorola,26,211
OnePlus,29,210
Lenovo,14,64
Nokia,23,234
Samsung,48,195
OnePlus,35,101
Motorola,44,58
OnePlus,65,79
Motorola,59,197
Vivo,43,10
Oppo,15,78
RealMe,35,139
LYF,11,230
LYF,37,162
Oppo,53,8
Oppo,50,102
Vivo,59,116
Motorola,44,144
LG,54,267
Lenovo,27,-1
Oppo,46,94
Samsung,28,172
LYF,34,145
Nokia,36,164
Lenovo,33,127
Nokia,48,214
Samsung,43,134
Vivo,48,35
Xioami,33,95
Lenovo,40,241
LG,53,137
Vivo,44,107
Vivo,26,59
Nokia,57,255
OnePlus,43,10
Xioami,85,35
Honor,26,184
LYF,49,152
OnePlus,22,138
RealMe,25,-94
Lenovo,43,4
Vivo,33,186
OnePlus,35,98
Motorola,33,119
RealMe,16,148
LG,43,44
Oppo,30,-13
RealMe,31,203
Xioami,47,93
OnePlus,30,179
Motorola,33,100
Apple,14,150
Vivo,16,38
LYF,46,174
RealMe,48,177
Apple,50,191
Oppo,44,34
Honor,47,139
Samsung,40,145
Oppo,35,167
LYF,45,90
Xioami,30,127
OnePlus,26,144
Xioami,37,122
Honor,40,170
Lenovo,54,69
Lenovo,53,212
Honor,39,113
Apple,50,68
LG,56,256
Xioami,26,263
LG,44,54
Apple,24,93
Xioami,11,72
Oppo,38,22
RealMe,31,98
LYF,43,200
Nokia,20,-69
Nokia,53,23
Samsung,10,-18
Motorola,20,51
Oppo,59,104
Oppo,28,292
Honor,38,222
OnePlus,51,134
Motorola,37,154
Samsung,16,200
Nokia,39,118
Vivo,42,72
RealMe,51,14
Samsung,86,114
Apple,24,24
LG,50,185
Vivo,38,69
RealMe,51,116
Honor,29,144
Nokia,53,136
RealMe,21,195
RealMe,22,27
RealMe,23,221
Oppo,36,79
Honor,34,158
Oppo,60,120
Vivo,34,175
LG,37,138
LG,51,198
Xioami,40,77
Lenovo,58,13
Nokia,51,212
Oppo,38,248
Honor,40,89
Vivo,60,328
RealMe,49,124
Vivo,67,269
Samsung,44,0
OnePlus,49,12
OnePlus,63,174
Motorola,10,218
Motorola,37,91
Nokia,28,160
Apple,50,78
Honor,54,209
Oppo,14,152
Oppo,21,272
Apple,18,3
RealMe,43,221
LYF,40,0
Lenovo,41,175
LG,67,264
LYF,41,47
Xioami,28,-9
LYF,34,177
Honor,44,21
LYF,40,12
Lenovo,52,58
LYF,40,166
Apple,43,130
Motorola,47,32
LG,56,73
Motorola,39,51
Oppo,44,174
Oppo,23,157
Nokia,22,17
Honor,63,55
OnePlus,24,312
OnePlus,14,97
Lenovo,67,184
OnePlus,49,48
Nokia,43,29
Honor,32,157
Xioami,34,161
Xioami,31,18
Samsung,44,231
Samsung,51,93
Honor,30,95
LYF,50,122
Vivo,46,37
Oppo,33,195
RealMe,45,214
OnePlus,22,78
Lenovo,27,213
Xioami,43,129
Vivo,16,89
Vivo,29,-24
Lenovo,26,132
Apple,35,231
Samsung,15,174
Apple,34,197
RealMe,32,387
Samsung,44,90
Oppo,48,96
Oppo,35,231
Oppo,37,189
LYF,35,253
Honor,25,153
LG,39,-7
Nokia,24,-42
Oppo,40,78
